"alpha","case","system","library","loss","pure_state","k","oracle_min","uniform","ratio_uniform_over_opt"
0.999,1,"1q","L1","frobenius","cos(0.2)|0> + i sin(0.2)|1>",3,2.6691058172674,3.00023658020097,1.12406056020386
0.999,2,"1q","L1","bures","cos(0.2)|0> + i sin(0.2)|1>",3,843.995748860476,1223.54091336382,1.44970032730116
0.999,3,"1q","L1","observable","cos(0.2)|0> + i sin(0.2)|1>",3,5.3382118755145,6.00047316040195,1.12406050946107
0.999,4,"1q","L2","frobenius","cos(0.2)|0> + i sin(0.2)|1>",9,2.16917316203324,2.37747003568859,1.09602593158589
0.999,5,"1q","L2","bures","cos(0.2)|0> + i sin(0.2)|1>",9,289.032360470452,1047.19229891749,3.62309707194377
0.999,6,"1q","L2","observable","cos(0.2)|0> + i sin(0.2)|1>",9,13.0149764149607,14.2648202141316,1.09603119969808
0.999,7,"1q","L3","frobenius","cos(0.2)|0> + i sin(0.2)|1>",4,2.5378407009525,3.67503559281904,1.44809545825305
0.999,8,"1q","L3","bures","cos(0.2)|0> + i sin(0.2)|1>",4,156.987258388691,192.976824218876,1.22925150868663
0.999,9,"1q","L3","observable","cos(0.2)|0> + i sin(0.2)|1>",4,5.13881724170161,6.82334463842664,1.32780449615041
0.999,10,"2q","A","frobenius","cos(0.2)|00> + i sin(0.2)|11>",15,40.1343848016245,45.02248875,1.12179341909777
0.999,11,"2q","A","bures","cos(0.2)|00> + i sin(0.2)|11>",15,20822.9563281292,23009.2352257042,1.10499368404387
0.999,12,"2q","A","observable","cos(0.2)|00> + i sin(0.2)|11>",15,160.537534359751,180.089955,1.12179345296555
0.999,13,"2q","B","frobenius","cos(0.2)|00> + i sin(0.2)|11>",5,13.686606616081,15.00749625,1.09650965144034
0.999,14,"2q","B","bures","cos(0.2)|00> + i sin(0.2)|11>",5,6497.30519824098,7180.51962255408,1.10515350648729
0.999,15,"2q","B","observable","cos(0.2)|00> + i sin(0.2)|11>",5,92.1083259181026,96.0729641127334,1.04304321194759
