"case_num","case_id","system","library","loss","policy","n","mse_mean","mse_sd","mse_se","distance_mean","distance_sd","distance_se","min_eig_mean","min_eig_sd","min_eig_se"
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",1,0.247013,9.61481343191782e-17,5.55111512312578e-17,0.994008048257156,1.92296268638356e-16,1.11022302462516e-16,0.000999999999999957,1.53329341668337e-19,8.85247366868827e-20
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",2,0.224341204574289,0.0785373994861752,0.0453435887347964,0.938290726012694,0.159571293356895,0.09212852917454,0.00100000212086665,2.75669739869672e-16,1.59157998521189e-16
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",3,0.0971505188273404,0.0641255178671518,0.0370228850025243,0.602784978192956,0.194624042865776,0.112366243539329,0.00100000436405423,4.26394894759533e-16,2.46179207270499e-16
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",4,0.0953207006502925,0.0816175164115779,0.0471218950708132,0.578820853631362,0.263389128484734,0.152067784232282,0.000999999999999993,2.20341252782274e-17,1.27214081607425e-17
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",5,0.0898382247104139,0.0931866833817841,0.0538013567353615,0.549340564630494,0.293882228689757,0.169672983844078,0.00100000284641301,2.15339358792254e-09,1.24326236765829e-09
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",6,0.0698786462305066,0.0727256021124252,0.0419881459565863,0.482723125488306,0.264082285587735,0.15246797867229,0.00100000098091244,1.69899021439735e-09,9.80912457632851e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",7,0.0760316504038352,0.0810527202497808,0.0467958098547624,0.502517240747205,0.278216707892848,0.160628491194987,0.00100000038603011,3.45749249797303e-10,1.99618422442584e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",8,0.0313266581038479,0.0223525915969511,0.0129052747755855,0.340319684342881,0.119305143628554,0.0688808567896528,0.00100000111616756,9.66717563157675e-10,5.58134645319423e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",9,0.0386956286386494,0.0149639020452952,0.00863941287397836,0.387833422307766,0.0809421190942369,0.0467319542478364,0.00100000001530374,2.65069227219477e-11,1.53037789689051e-11
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",10,0.0367388733522913,0.00806554772073906,0.00465664614773047,0.381885024466579,0.040975385855277,0.023657150053693,0.000999999999999991,5.5636793436604e-17,3.21219176674709e-17
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",11,0.0285268564813045,0.0204471049379942,0.0118051415400995,0.314764654444702,0.150153113042282,0.0866909402346216,0.00100000078919876,9.56320557822692e-10,5.52131931490504e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",12,0.0277974487986352,0.0128849082473579,0.00743910524509572,0.326534710216929,0.082748518579674,0.0477748794770175,0.00099999999999999,3.68379925941043e-17,2.12684249406115e-17
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",13,0.0338044329413673,0.028531700023869,0.0164727846892184,0.329859223439605,0.199037525898849,0.114914369156537,0.00100000093751261,8.85880530203281e-10,5.11463362582713e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",14,0.0212385404237805,0.0289317341120557,0.0167037444777181,0.243804732129413,0.195627506832861,0.112945593730848,0.00100000248092251,3.72792839844575e-09,2.15232046436231e-09
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",15,0.0224649651618466,0.0338693744770812,0.0195544924716271,0.236644253771777,0.225364231204239,0.13011409955148,0.00100000257822662,3.04210913916316e-09,1.75636253040007e-09
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",16,0.0171429026171824,0.023536847317275,0.0135890051345038,0.217415571211899,0.178754356016854,0.103203875565149,0.00100000147807728,2.4380780424648e-09,1.40762501412237e-09
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",17,0.0174539048230039,0.0211871358109934,0.0122323985638342,0.227114627031516,0.165383941846016,0.095484463344439,0.00100000000000001,2.18142985928927e-17,1.25944911647894e-17
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",18,0.0166789854715944,0.0195671164197005,0.0112970799321788,0.229834698495625,0.144353489326391,0.0833425259210537,0.00100000278751218,4.71500288678964e-09,2.72220818591786e-09
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",19,0.0133407890671216,0.0130261071353703,0.00752062646109895,0.213360183968334,0.108447601394534,0.0626122518581034,0.00100000254761818,3.60729225807398e-09,2.08267115624467e-09
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",20,0.0133341605462246,0.0131828272551898,0.00761110886446419,0.205971798184157,0.127939012058579,0.0738656230518756,0.00100000029397712,4.03309749788162e-10,2.32850992606996e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",21,0.0145340040341057,0.0125111114946288,0.00722329358928536,0.219196427553873,0.123017939448131,0.0710244404555315,0.00100000017593175,3.04722767220194e-10,1.75931771682787e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",22,0.0110159223755375,0.00789001984976652,0.00455530508417419,0.19816611515997,0.0847987055139012,0.0489585554553826,0.00100000083935696,8.53081891479515e-10,4.92527059686493e-10
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",23,0.0141628016114318,0.00875139446366882,0.0050526199493838,0.228917501478169,0.0798246574942825,0.0460867874922937,0.001,1.76182019025249e-17,1.01718736110599e-17
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",24,0.0144180333816555,0.00661606581577266,0.00381978737971263,0.236269335768528,0.052663096691908,0.0304050530514324,0.0135738067881881,0.0217784722016963,0.0125738067881881
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",25,0.0134830406105947,0.00351344577204965,0.00202848886227602,0.230825323838878,0.0312689698516628,0.0180531481611398,0.0104386841030837,0.0163482798648812,0.00943868378077649
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",26,0.0135311931007221,0.00205821503629785,0.0011883110052567,0.232200602485233,0.0176487651855687,0.0101895193307526,0.00619289973208359,0.00899436617457964,0.00519289973208362
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",27,0.0122968855659864,0.00270559958425333,0.001562078648288,0.22090129731363,0.0241917065055637,0.0139670882631436,0.003676675026972,0.00463613714206632,0.00267667502697201
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",28,0.00802569364919662,0.00267778400719713,0.00154601931738694,0.177619776332083,0.0288268013971492,0.01664316154652,0.00982716687946735,0.0152891015221267,0.00882716687946735
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",29,0.00420733554412068,0.00247956831184851,0.0014315794323198,0.126193232697504,0.036836331206494,0.0212674657380275,0.0126509102880232,0.0201799685732832,0.0116509102880232
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",30,0.00375205898541756,0.00249849662403699,0.00144250769845713,0.118321476608524,0.0388895380825358,0.0224528852806122,0.0104202059624169,0.0163162733422551,0.00942020480632252
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",31,0.00243606456319988,0.000834551595608401,0.000481828588377142,0.0977971362573173,0.0164306904602585,0.00948626356020169,0.00852577615637664,0.0130350254835637,0.00752577547182915
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",32,0.00377472522181411,8.52574196004296e-05,4.92233941567209e-05,0.122872380537939,0.00138509288303927,0.000799683748875359,0.019502655302738,0.032047536162505,0.0185026536302865
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",33,0.00611921217891648,0.00423608899071706,0.00244570711910171,0.150687245287851,0.0515296442335604,0.0297506539694917,0.0242923131328367,0.040343469208317,0.0232923128074652
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",34,0.00731074481397776,0.00529899661345262,0.00305937712121178,0.164177563682351,0.058592322524867,0.0338282931821773,0.0224100022256751,0.0370832116450321,0.0214100022256751
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",35,0.00772220956473444,0.00479957292869241,0.00277103472237581,0.170588948807664,0.0517916325814426,0.0299019130126661,0.0206271511736722,0.0339952216340797,0.0196271503615969
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",36,0.0113839504953047,0.00564060820795292,0.00325660666725483,0.208071713429199,0.0579909137519357,0.0334810696652324,0.0190810555950387,0.0313173048641148,0.0180810543935903
