"case_num","case_id","library","loss","policy","mse_start","mse_end","mse_min","mse_max","mse_avg","min_eig_start","min_eig_end","min_eig_min","min_eig_max","min_eig_avg","distance_start","distance_end","distance_min","distance_max","distance_avg"
1,"1q_L1_frobenius","L1","frobenius","uniform",0.0133341605462246,0.0121740570848968,0.00243606456319988,0.028055804281394,0.0150037593704213,0.00100000029397712,0.00872381446688674,0.001,0.0263281414961908,0.00900039802168638,0.205971798184157,0.216129997618763,0.0977971362573173,0.322237264159237,0.233889821460046
1,"1q_L1_frobenius","L1","frobenius","exact",0.0151992714260088,0.00405294404003991,0.00323376057888098,0.0151992714260088,0.00803251347471999,0.0101984945187087,0.00390062688249347,0.000999999999999976,0.0431073406650256,0.014316778342502,0.241808432229562,0.123050223402801,0.106313151504956,0.241808432229562,0.168992169567399
1,"1q_L1_frobenius","L1","frobenius","GI1",0.0447931328137594,0.00530827651567101,0.00530827651567101,0.0447931328137594,0.0177533702142974,0.0840528366344137,0.0156020125387392,0.0130680455670788,0.114923801009828,0.0431042556109294,0.408230803572924,0.143574060500434,0.143574060500434,0.408230803572924,0.251079683191169
2,"1q_L1_bures","L1","bures","uniform",0.0159942285921546,0.000981559680812923,0.000981559680812923,0.0166596229660022,0.00586594931712645,0.00100000181455434,0.0157261912044163,0.000999999999999985,0.0165246408180509,0.00452668356222492,0.231951831946565,0.0549809880797772,0.0549809880797772,0.231951831946565,0.140712149369376
2,"1q_L1_bures","L1","bures","exact",0.0127616124201211,0.00223589633691905,0.00190325956191425,0.0162429140468005,0.00816752530378619,0.00100000047083214,0.0081947828540629,0.000999999999999988,0.0257037711915546,0.0111123775021263,0.217253190299189,0.0873001455718659,0.0800794348039429,0.225990428093329,0.159723449326854
2,"1q_L1_bures","L1","bures","GI1",0.0209525186643836,0.0132756251009677,0.0115502345734096,0.0249350292334375,0.0167736742164679,0.00100000093060009,0.00265520014479263,0.000999999999999962,0.0072596492360624,0.00138068152247688,0.282246261647366,0.2262834718824,0.20670588901354,0.286175359525511,0.236749711063936
3,"1q_L1_observable","L1","observable","uniform",0.0169650614255459,0.00396845142087837,0.00396845142087837,0.026615186658569,0.0152963233768615,0.0755750418912155,0.0188489815749936,0.00851375280198185,0.0755750418912155,0.0216909649522471,0.245116877723737,0.119848969647024,0.117849346438796,0.319150421603223,0.230677199024538
3,"1q_L1_observable","L1","observable","exact",0.00982432051519743,0.00283065474494367,0.001528163481928,0.0205467583320758,0.00546344726150798,0.00100000078576492,0.0213052076754053,0.00100000000000001,0.0671791314443713,0.0158322838364871,0.184127422903631,0.102102352140759,0.0719967111093474,0.285025355006004,0.131499479905877
3,"1q_L1_observable","L1","observable","GI1",0.0242102844964433,0.00504526734164394,0.004618237229239,0.0295467702808074,0.00994001039802072,0.0375714263917255,0.013640876729164,0.00818406690245702,0.0549036502536009,0.022748255304695,0.305801729487644,0.138078680727499,0.133854679821885,0.318967512129275,0.181789367117181
4,"1q_L2_frobenius","L2","frobenius","uniform",0.00701377475730582,0.00757901828608662,0.00214635727939289,0.0182266956403379,0.0112253080360082,0.00100000075242996,0.00100000445715814,0.000999999999999958,0.00100002138620798,0.0010000030410294,0.138716179474731,0.173233518320112,0.0924780220861667,0.262920332551693,0.203803355504562
4,"1q_L2_frobenius","L2","frobenius","exact",0.0150191409911768,0.00118593118709899,0.000876098243852538,0.0150191409911768,0.00314631293386987,0.00452006525144142,0.0117168399091926,0.000999999999999966,0.0454503938230556,0.00996209069085032,0.219997036107891,0.0670397735994109,0.0591058030846185,0.219997036107891,0.0947977798095231
4,"1q_L2_frobenius","L2","frobenius","GI1",0.00900876500323025,0.00667952148096967,0.00522408804171951,0.0188474436108462,0.0105869035276394,0.00100000007017559,0.0198383103076936,0.00100000007017559,0.0579045679304588,0.0333876692437014,0.178633008627061,0.154695918265246,0.130598237087448,0.268616612226496,0.191770116900992
5,"1q_L2_bures","L2","bures","uniform",0.0131250998461656,0.0024983361734619,0.00166018740353238,0.0139101644154613,0.00667103176074043,0.00100000018279635,0.00100000000000003,0.000999999999999956,0.00202023373881832,0.00101620844088275,0.217227778847936,0.0954933676167205,0.0712086509838489,0.220325560123587,0.140873031334845
5,"1q_L2_bures","L2","bures","exact",0.00385533614173609,0.0059411830657819,0.00354450177168539,0.0104916777073419,0.00783496827421377,0.00100000102226646,0.0132467805579788,0.000999999999999966,0.0192937582682904,0.0100979279038474,0.107377294906746,0.142929656621437,0.0970135279058612,0.198336370642929,0.166801793789737
5,"1q_L2_bures","L2","bures","GI1",0.0358520116923554,0.00146894564296926,0.00146894564296926,0.0375705258882102,0.00824518077261529,0.00100000063750943,0.0109779276286553,0.001,0.0179335869566317,0.00623439700386596,0.363742349975169,0.0732487602154005,0.0732487602154005,0.368088494032197,0.15509600378384
6,"1q_L2_observable","L2","observable","uniform",0.0265811782711034,0.00213666828213792,0.00153894651503786,0.0265811782711034,0.00805822056884864,0.00100000092739024,0.00100000121004076,0.000999999999999985,0.00100006555077806,0.00100000196913923,0.306623139106725,0.0922604610758188,0.078337485119831,0.314288931549505,0.158083408868082
6,"1q_L2_observable","L2","observable","exact",0.0148507345607613,0.00270202001526454,0.00143365407010057,0.021631741968407,0.00740979195728342,0.0442647119734592,0.00454420193820035,0.00454420193820035,0.120452005148182,0.0508916273452735,0.243378911179269,0.0990269096650259,0.0728647585042264,0.27436386571806,0.151789202138622
6,"1q_L2_observable","L2","observable","GI1",0.0811426259951471,0.00830985259933526,0.00830985259933526,0.0944480254808779,0.0270318784971293,0.000999999999999981,0.0315932472009756,0.000999999999999981,0.0581701481334897,0.0347200959539557,0.548118511256954,0.17111663638316,0.17111663638316,0.587408315232971,0.284279768741598
7,"1q_L3_frobenius","L3","frobenius","uniform",0.0763732534994844,0.00482275764804947,0.00348819731751546,0.0763732534994844,0.0167892121446708,0.0010000055175755,0.00100000000000001,0.00099999999999996,0.0554965984534704,0.00946525624045204,0.524202239353964,0.126001148653344,0.117173756022874,0.524202239353964,0.227869136820232
7,"1q_L3_frobenius","L3","frobenius","exact",0.0142714479873154,0.0131957466227831,0.00127839455341113,0.01781923264784,0.00957269513837497,0.00100000045862175,0.00832867313480912,0.00099999999999998,0.00979467592998747,0.00153279616359405,0.220360056585585,0.216191208210118,0.0696824517122845,0.247047082787882,0.175600973114558
7,"1q_L3_frobenius","L3","frobenius","GI1",0.0358057178749571,0.00251758616078968,0.00163741918269605,0.0358057178749571,0.00672968317773851,0.0010000000847892,0.00100000053838554,0.000999999999999952,0.00100001168113967,0.00100000146356356,0.343578849786041,0.0843508616628479,0.0634764322093139,0.343578849786041,0.136977843753452
8,"1q_L3_bures","L3","bures","uniform",0.018073251685465,0.00239325669590129,0.002250489070172,0.0257374068745346,0.00835062105247105,0.000999999999999989,0.0143178225942493,0.000999999999999989,0.0634413464993602,0.0261531257800806,0.223406348294523,0.0911710856218417,0.0876044949061613,0.30885666993001,0.166738970515987
8,"1q_L3_bures","L3","bures","exact",0.0185144713988924,0.00456264697134193,0.00456264697134193,0.0198335150976462,0.00898725625311397,0.00100000018602154,0.0138785473029315,0.000999999999999979,0.0145525519316897,0.0034619726238867,0.249052531240256,0.122225142966126,0.118041220444036,0.249650603685084,0.159766898197343
8,"1q_L3_bures","L3","bures","GI1",0.0247493849488995,0.00467080966612784,0.00362611679053512,0.027683424582581,0.00858852628929053,0.00100000005537907,0.00100000056854728,0.000999999999999961,0.00100001082057234,0.00100000117305161,0.312285820496579,0.134822497440579,0.119339990642434,0.328892742170298,0.168677146718765
9,"1q_L3_observable","L3","observable","uniform",0.0124667676358986,0.00316059477683136,0.00267683724706636,0.0192425590036423,0.00994575920075956,0.00100000159658743,0.0010000006899764,0.000999999999999978,0.00100000932238464,0.00100000137176467,0.217200617356993,0.104816069451019,0.0896257711973837,0.267621714102048,0.16416458154996
9,"1q_L3_observable","L3","observable","exact",0.0306567567344316,0.00448278202079191,0.00406344381723583,0.0306567567344316,0.0148347389386007,0.00100000161005909,0.000999999999999949,0.000999999999999949,0.00100001448650615,0.00100000170524818,0.339084759346776,0.129796140349612,0.12198484371546,0.339084759346776,0.215062493308999
9,"1q_L3_observable","L3","observable","GI1",0.0148568124459768,0.00761408837712217,0.00670853941500591,0.0195087089010168,0.0111167531478213,0.00100000052483338,0.00420523530137796,0.000999999999999964,0.00516088957895869,0.00139301605430284,0.232852177375755,0.160137534191475,0.138961097029411,0.258760425091375,0.195970342432362
