"alpha","alpha_name","case_num","case_id","system","library","loss","policy","n_step","n_eff","mean_scaled_proxy","se_scaled_proxy","mean_scaled_mse","mean_scaled_fro_sq","mean_scaled_bures_sq"
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",37,3700,3.25766025641026,0,0.613521930881156,2.45408772352462,1.42917064592319
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",38,3800,3.23887078122804,0,0.647547057915525,2.5901882316621,1.4945462699357
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",39,3900,3.285,0,0.66448529328768,2.65794117315072,1.51523503276895
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",40,4000,3.25934065934066,0,0.65070888177042,2.60283552708168,1.49464709452474
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",1,100,Inf,NA,10.2249957440635,40.8999829762539,30.6400101760736
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",2,200,Inf,NA,17.4535121471893,69.814048588757,50.2477309651153
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",3,300,3.285,0,0.732088213768062,2.92835285507225,7.66094793558711
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",4,400,3.38,0,0.763071659346568,3.05228663738627,8.39061982802272
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",5,500,3.128542228393,0,0.849581951929982,3.39832780771993,7.85459341822437
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",6,600,3.2542506740716,0,0.938238963351802,3.75295585340721,8.60188229765779
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",7,700,3.28494549300026,0,1.02310713707864,4.09242854831457,15.4056127020069
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",8,800,3.27472297119066,0.146167116047732,1.12056291375667,4.48225165502667,17.1424424693799
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",9,900,3.33209467684845,0.187469339812648,1.70572215254957,6.82288861019828,13.500673973836
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",10,1000,3.128542228393,0,1.24723988405732,4.98895953622928,6.47283285137668
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",11,1100,3.1663964512323,0,1.08762856833086,4.35051427332343,6.20518471226771
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",12,1200,3.19110080888592,0,0.737760199548702,2.95104079819481,6.95081619359454
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",13,1300,3.11812261168581,0,0.635821329292014,2.54328531716806,4.34402582796652
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",14,1400,3.12464486386677,0,0.641875039469417,2.56750015787767,4.58639261238558
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",15,1500,3.128542228393,0,0.627861341822712,2.51144536729085,4.15610021208751
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",16,1600,3.14663551980967,0,0.520557813061914,2.08223125224766,4.04723189316218
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",17,1700,3.14374407452777,0.0220344308193541,0.505145108962653,2.02058043585061,3.50342917962094
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",18,1800,3.11737543333174,0,0.395420987305242,1.58168394922097,1.91596479812275
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",19,1900,3.12092010026287,0,0.393713887335477,1.57485554934191,1.98541456777117
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",20,2000,3.12865219497204,0.000109966579043608,0.433760352921583,1.73504141168633,1.87911194433177
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",21,2100,3.12993380518345,0.0092022012958628,0.456245681135034,1.82498272454014,1.99484487180186
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",22,2200,3.1165600929616,0,0.259540476293837,1.03816190517535,0.895434107870674
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",23,2300,3.11811897788583,0,0.218742960740395,0.874971842961582,1.1250977108903
