"alpha","alpha_name","case_num","case_id","system","library","loss","policy","metric","lhs_final","lhs_tail_mean","rhs_oracle","rel_gap_final","rel_gap_tail"
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform","scaled_frobenius_mse",0.65070888177042,0.568723036478374,0.778681478261069,-0.164345242648424,-0.269633280929666
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact","scaled_frobenius_mse",0.595724283915012,0.30449250430498,0.778681478261069,-0.234957680969415,-0.608963982314097
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1","scaled_frobenius_mse",0.843703804829169,1.06804573571963,0.778681478261069,0.0835031118414504,0.371607988037369
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1","scaled_frobenius_mse",0.968968529232664,1.30051234848454,0.778681478261069,0.244370845183758,0.670146760635443
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","uniform","scaled_bures_squared",1.56955437677464,1.03983456258202,2.8960174852976,-0.458030075873887,-0.640943271972282
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","exact","scaled_bures_squared",9.75675487400984,8.26475887310024,2.8960174852976,2.36902485000266,1.85383597131525
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","GI1","scaled_bures_squared",5.71949409968031,5.70796423743147,2.8960174852976,0.974951507964586,0.970970225977381
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures","oracle_GI1","scaled_bures_squared",3.63232317135287,2.74276565769357,2.8960174852976,0.254247665904406,-0.0529181292523478
0.9,"Case II",4,"1q_L2_frobenius","1q","L2","frobenius","uniform","scaled_frobenius_mse",1.58822907397841,1.30637698716637,0.741694948345674,1.14135080402112,0.761340009231828
0.9,"Case II",4,"1q_L2_frobenius","1q","L2","frobenius","exact","scaled_frobenius_mse",0.705683458774408,0.548688651919619,0.741694948345674,-0.0485529659485869,-0.260223285673644
0.9,"Case II",4,"1q_L2_frobenius","1q","L2","frobenius","GI1","scaled_frobenius_mse",1.03858544960684,0.396075947321167,0.741694948345674,0.40028653548655,-0.465985378214317
0.9,"Case II",4,"1q_L2_frobenius","1q","L2","frobenius","oracle_GI1","scaled_frobenius_mse",0.147968233945146,0.276458672708238,0.741694948345674,-0.800499876296603,-0.627260946936648
0.9,"Case II",5,"1q_L2_bures","1q","L2","bures","uniform","scaled_bures_squared",4.25675492347422,4.50255788320365,2.25000085187563,0.891890360808406,1.00113607932648
0.9,"Case II",5,"1q_L2_bures","1q","L2","bures","exact","scaled_bures_squared",0.960766084386222,1.00027612065981,2.25000085187563,-0.572993013053611,-0.555433003580438
0.9,"Case II",5,"1q_L2_bures","1q","L2","bures","GI1","scaled_bures_squared",3.72582754610118,2.70495096446412,2.25000085187563,0.655922726871536,0.202199973484114
0.9,"Case II",5,"1q_L2_bures","1q","L2","bures","oracle_GI1","scaled_bures_squared",3.98593448765538,3.25751470581787,2.25000085187563,0.77152576823811,0.447783765549403
0.9,"Case II",7,"1q_L3_frobenius","1q","L3","frobenius","uniform","scaled_frobenius_mse",2.01785764412289,3.54418773110866,0.932475721804822,1.16397874704694,2.80083647030384
0.9,"Case II",7,"1q_L3_frobenius","1q","L3","frobenius","exact","scaled_frobenius_mse",1.15011318877127,1.00732217823852,0.932475721804822,0.233397462129314,0.0802663862270102
0.9,"Case II",7,"1q_L3_frobenius","1q","L3","frobenius","GI1","scaled_frobenius_mse",0.850922606500747,0.958845355975545,0.932475721804822,-0.0874587009581634,0.0282791643300735
0.9,"Case II",7,"1q_L3_frobenius","1q","L3","frobenius","oracle_GI1","scaled_frobenius_mse",0.502598478777993,0.560496836692539,0.932475721804822,-0.461006365071677,-0.398915356629674
0.9,"Case II",8,"1q_L3_bures","1q","L3","bures","uniform","scaled_bures_squared",6.25489204561846,7.82233623924036,2.65816764382232,1.35308411046047,1.94275504309134
0.9,"Case II",8,"1q_L3_bures","1q","L3","bures","exact","scaled_bures_squared",2.18080715643332,2.79515470414195,2.65816764382232,-0.1795825363003,0.0515343946187866
0.9,"Case II",8,"1q_L3_bures","1q","L3","bures","GI1","scaled_bures_squared",4.05606923733659,5.24655943004601,2.65816764382232,0.525889176614966,0.973750392395002
0.9,"Case II",8,"1q_L3_bures","1q","L3","bures","oracle_GI1","scaled_bures_squared",9.5681483226171,8.28440070160503,2.65816764382232,2.59952779684676,2.11658323012782
0.9,"Case II",10,"2q_A_frobenius","2q","A","frobenius","uniform","scaled_frobenius_mse",1.28210826030485,2.03973909594467,2.81722119818226,-0.544903232613717,-0.27597481615545
0.9,"Case II",10,"2q_A_frobenius","2q","A","frobenius","exact","scaled_frobenius_mse",3.30274037666334,3.82729343594345,2.81722119818226,0.172339743430283,0.358534941598805
0.9,"Case II",10,"2q_A_frobenius","2q","A","frobenius","GI1","scaled_frobenius_mse",2.49547157297266,2.91064460946406,2.81722119818226,-0.114208151428505,0.0331615463287328
0.9,"Case II",10,"2q_A_frobenius","2q","A","frobenius","oracle_GI1","scaled_frobenius_mse",1.28813498923298,1.32011794262794,2.81722119818226,-0.542763986702885,-0.531411327062385
0.9,"Case II",11,"2q_A_bures","2q","A","bures","uniform","scaled_bures_squared",175.263735617765,136.014595744902,249.382553223353,-0.297209314154408,-0.454594581750538
0.9,"Case II",11,"2q_A_bures","2q","A","bures","exact","scaled_bures_squared",157.332435331771,142.572467844021,249.382553223353,-0.369112099871476,-0.428298146757967
0.9,"Case II",11,"2q_A_bures","2q","A","bures","GI1","scaled_bures_squared",145.915112735874,103.094146570331,249.382553223353,-0.414894462945092,-0.586602409680209
0.9,"Case II",11,"2q_A_bures","2q","A","bures","oracle_GI1","scaled_bures_squared",95.9130874914296,88.7369642981577,249.382553223353,-0.615397764391611,-0.644173326677417
0.9,"Case II",13,"2q_B_frobenius","2q","B","frobenius","uniform","scaled_frobenius_mse",0.570041405158139,0.61367046666308,0.940824121224402,-0.394104177073735,-0.347730938419776
0.9,"Case II",13,"2q_B_frobenius","2q","B","frobenius","exact","scaled_frobenius_mse",0.646172837413299,0.77648842958119,0.940824121224402,-0.313184236207337,-0.174672064561168
0.9,"Case II",13,"2q_B_frobenius","2q","B","frobenius","GI1","scaled_frobenius_mse",1.05477559005361,0.80071369997264,0.940824121224402,0.12111877901356,-0.148923075090189
0.9,"Case II",13,"2q_B_frobenius","2q","B","frobenius","oracle_GI1","scaled_frobenius_mse",0.598870178273938,0.600192802583494,0.940824121224402,-0.363462134139844,-0.362056319514434
0.9,"Case II",14,"2q_B_bures","2q","B","bures","uniform","scaled_bures_squared",84.0391704130883,76.7559750088525,76.3784025546735,0.100300184373862,0.00494344528754389
0.9,"Case II",14,"2q_B_bures","2q","B","bures","exact","scaled_bures_squared",72.0732759661464,61.2508398302396,76.3784025546735,-0.0563657584412728,-0.198060737308628
0.9,"Case II",14,"2q_B_bures","2q","B","bures","GI1","scaled_bures_squared",40.7163146004286,52.8670425687533,76.3784025546735,-0.466913247219554,-0.307827333375952
0.9,"Case II",14,"2q_B_bures","2q","B","bures","oracle_GI1","scaled_bures_squared",74.223292924291,75.8919799171697,76.3784025546735,-0.0282162176518395,-0.00636858877947318
